SimulationTime,CW
0.01,32
0.02,32
0.03,32
0.04,32
0.05,32
0.06,32
0.07,32
0.08,32
0.09,32
0.1,32
0.11,32
0.12,32
0.13,32
0.14,32
0.15,32
0.16,32
0.17,32
0.18,32
0.19,32
0.2,32
0.21,32
0.22,32
0.23,32
0.24,32
0.25,32
0.26,32
0.27,32
0.28,32
0.29,32
0.3,32
0.31,32
0.32,32
0.33,32
0.34,32
0.35,32
0.36,32
0.37,32
0.38,32
0.39,32
0.4,32
0.41,32
0.42,32
0.43,32
0.44,32
0.45,32
0.46,32
0.47,32
0.48,32
0.49,32
0.5,32
0.51,32
0.52,32
0.53,32
0.54,32
0.55,32
0.56,32
0.57,32
0.58,32
0.59,32
0.6,32
0.61,32
0.62,32
0.63,32
0.64,32
0.65,32
0.66,32
0.67,32
0.68,32
0.69,32
0.7,32
0.71,32
0.72,32
0.73,32
0.74,32
0.75,32
0.76,32
0.77,32
0.78,32
0.79,32
0.8,32
0.81,32
0.82,32
0.83,32
0.84,32
0.85,32
0.86,32
0.87,32
0.88,32
0.89,32
0.9,32
0.91,32
0.92,32
0.93,32
0.94,32
0.95,32
0.96,32
0.97,32
0.98,32
0.99,32
1,32
1.01,32
1.02,32
1.03,32
1.04,32
1.05,32
1.06,32
1.07,32
1.08,32
1.09,32
1.1,32
1.11,32
1.12,32
1.13,32
1.14,32
1.15,32
1.16,32
1.17,32
1.18,32
1.19,32
1.2,32
1.21,32
1.22,32
1.23,32
1.24,32
1.25,32
1.26,32
1.27,32
1.28,32
1.29,32
1.3,32
1.31,32
1.32,32
1.33,32
1.34,32
1.35,32
1.36,32
1.37,32
1.38,32
1.39,32
1.4,32
1.41,32
1.42,32
1.43,32
1.44,32
1.45,32
1.46,32
1.47,32
1.48,32
1.49,32
1.5,32
1.51,32
1.52,32
1.53,32
1.54,32
1.55,32
1.56,32
1.57,32
1.58,32
1.59,32
1.6,32
1.61,32
1.62,32
1.63,32
1.64,32
1.65,32
1.66,32
1.67,32
1.68,32
1.69,32
1.7,32
1.71,32
1.72,32
1.73,32
1.74,32
1.75,32
1.76,32
1.77,32
1.78,32
1.79,32
1.8,32
1.81,32
1.82,32
1.83,32
1.84,32
1.85,32
1.86,32
1.87,32
1.88,32
1.89,32
1.9,32
1.91,32
1.92,32
1.93,32
1.94,32
1.95,32
1.96,32
1.97,32
1.98,32
1.99,32
2,32
2.01,32
2.02,32
2.03,32
2.04,32
2.05,32
2.06,32
2.07,32
2.08,32
2.09,32
2.1,32
2.11,32
2.12,32
2.13,32
2.14,32
2.15,32
2.16,32
2.17,32
2.18,32
2.19,32
2.2,32
2.21,32
2.22,32
2.23,32
2.24,32
2.25,32
2.26,32
2.27,32
2.28,32
2.29,32
2.3,32
2.31,32
2.32,32
2.33,32
2.34,32
2.35,32
2.36,32
2.37,32
2.38,32
2.39,32
2.4,32
2.41,32
2.42,32
2.43,32
2.44,32
2.45,32
2.46,32
2.47,32
2.48,32
2.49,32
2.5,32
2.51,32
2.52,32
2.53,32
2.54,32
2.55,32
2.56,32
2.57,32
2.58,32
2.59,32
2.6,32
2.61,32
2.62,32
2.63,32
2.64,32
2.65,32
2.66,32
2.67,32
2.68,32
2.69,32
2.7,32
2.71,32
2.72,32
2.73,32
2.74,32
2.75,32
2.76,32
2.77,32
2.78,32
2.79,32
2.8,32
2.81,32
2.82,32
2.83,32
2.84,32
2.85,32
2.86,32
2.87,32
2.88,32
2.89,32
2.9,32
2.91,32
2.92,32
2.93,32
2.94,32
2.95,32
2.96,32
2.97,32
2.98,32
2.99,32
3,32
3.01,32
3.02,32
3.03,128
3.04,128
3.05,128
3.06,128
3.07,128
3.08,128
3.09,128
3.1,128
3.11,128
3.12,128
3.13,128
3.14,128
3.15,128
3.16,128
3.17,128
3.18,128
3.19,128
3.2,128
3.21,128
3.22,128
3.23,128
3.24,128
3.25,128
3.26,128
3.27,128
3.28,128
3.29,128
3.3,128
3.31,128
3.32,128
3.33,128
3.34,128
3.35,128
3.36,128
3.37,128
3.38,128
3.39,128
3.4,128
3.41,128
3.42,128
3.43,128
3.44,128
3.45,128
3.46,128
3.47,128
3.48,128
3.49,128
3.5,128
3.51,128
3.52,128
3.53,128
3.54,128
3.55,128
3.56,128
3.57,128
3.58,128
3.59,128
3.6,128
3.61,128
3.62,128
3.63,128
3.64,128
3.65,128
3.66,128
3.67,128
3.68,128
3.69,128
3.7,128
3.71,128
3.72,128
3.73,128
3.74,128
3.75,128
3.76,128
3.77,128
3.78,128
3.79,128
3.8,128
3.81,128
